Manufacturer,IntelCore(i-),IntelCoreGen,processing speed(GHz),Ram(gb),HDD(gb),SSD(gb),Graphics(gb),ScreenSize(inch),Price
Dell,3,7,2.29,4,1000,0,0,15.6,39057
Dell,3,7,2.3,4,1000,0,0,15.6,45141
HP,3,7,2.3,8,256,256,0,14,35999
ASUS,3,7,2.3,4,1000,0,0,14,39990
HP,3,7,2.4,4,1000,0,0,15.6,36263
HP,2,4,2.3,4,500,256,0,14,26403
Lenovo,3,7,2.3,4,1000,0,0,15.6,38290
HP,5,8,1.6,8,1000,0,0,14,53554
Lenovo,1,3,1.8,4,1000,0,0,15.6,29990
Dell,3,8,3.9,4,1000,0,0,14,38090
HP,3,7,2.3,8,1000,0,0,15.6,42192
Lenovo,2,5,2.3,4,1000,0,0,15.6,34890
HP,3,7,2.3,4,1000,0,0,14,33905
Lenovo,3,8,2.1,4,1000,0,0,15.6,42590
Lenovo,3,8,2.1,8,1000,0,0,15.6,45390
HP,3,7,2.3,8,1000,0,0,15.6,40338
ASUS,5,8,1.6,8,512,512,0,15.6,56990
Lenovo,1,3,1.8,4,1000,0,0,15.6,30690
HP,3,7,2.4,4,1000,0,0,15.6,35634
HP,5,9,2.4,8,1000,256,4,15.6,74931
ASUS,5,9,2.1,8,1000,512,4,15.6,97990
HP,5,9,2.4,8,1000,0,4,15.6,69071
ASUS,7,8,2.2,8,1000,16,4,15.6,109999
Lenovo,7,9,2.6,8,1000,256,4,15.6,118890
Lenovo,7,9,2.6,16,1000,256,4,15.6,128690
Lenovo,7,9,2.6,8,1000,512,4,15.6,118890
Lenovo,5,9,2.4,8,1000,256,3,15.6,92990
ASUS,7,9,2.6,32,1000,512,8,17.3,402990
HP,7,9,2.6,8,1000,256,4,15.6,99555
