,Price,Pricepersqft,Size,Address,Carpet Area
0,2Cr,12247/sqft,3 BHK,"DLF Capital Greens, Moti Nagar, Kirti Nagar ",1633 sqft
1,4.30Cr,15412/sqft,5 BHK,"Bahubali Enclave, Anand Vihar ",2790 sqft
2,1.23Cr,,2 BHK,"Goodwill Apartment, Rohi Sector 13 ",79 sqyrd
3,1.10Cr,11579,2 BHK,Rohi Sector 9 ,950 sqft
4,2.10Cr,9545/sqft,4 BHK,"Belur Apartments, Dwarka Sector 18A ",2000 sqft
5,39Lac,,2 BHK,"Vishwakarma Colony, Mehrauli Badarpur Road ",500 sqft
6,4.25Cr,17708/sqft,3 BHK,Safdarjung Enclave ,2300 sqft
7,38Lac,5135,1 BHK,"Knowledge Park3,greater Noida ",740 sqft
8,3.50Cr,25000/sqft,3 BHK,Sarvodaya Enclave ,1400 sqft
9,7Cr,21440/sqft,4 BHK,"DLF Capital Greens, Moti Nagar, Kirti Nagar ",3265 sqft
10,1Cr,,2 BHK,"Geetanjali Enclave, Malviya Nagar ",500 sqft
11,45Lac,,3 BHK,Uttam Nagar ,1050 sqft
12,20Lac,2614,2 BHK,Swaroop Nagar ,85 sqyrd
13,45Lac,,2 BHK,"Rani Bagh, Rani Bagh ",55 sqyrd
14,1.65Cr,18333/sqft,2 BHK,Lajpat Nagar 1 ,900 sqft
15,1.30Cr,,3 BHK,"Meghdoot Apartment, Dwarka Sector 7 ",1400 sqft
16,3.35Cr,15227/sqft,3 BHK,"DDA Flats Vasant Kunj, Vasant Kunj Sector D ",2000 sqft
17,21.2Lac,42420,2 BHK,Uttam Nagar West ,50 sqyrd
18,1.50Cr,9091/sqft,3 BHK,"Sidhartha Extention, Sidhartha Nagar ",1450 sqft
19,2.40Cr,14815/sqft,3 BHK,"Nirman Vihar, Preet Vihar ",175 sqyrd
20,35Lac,7778,2 BHK,Rishi Nagar ,450 sqft
21,1.55Cr,7045/sqft,4 BHK,"City Apartment, Vasundhara Enclave ",2200 sqft
22,9Cr,30000/sqft,5 BHK,"Hauz Khas Enclave, Hauz Khas ",3000 sqft
23,1.10Cr,9167,3 BHK,"Arunodaya Apartment, Vikaspuri ",1200 sqft
24,38Lac,,1 BHK,LIG Flats ,550 sqft
25,18.5Lac,4111,1 BHK,"Devli, Sangam Vihar ",50 sqyrd
26,1.50Cr,8824/sqft,3 BHK,"City Apartment, Vasundhara Enclave ",1500 sqft
27,2.35Cr,14688/sqft,3 BHK,"Indraprastha Extension, Patparganj ",1400 sqft
28,3.15Cr,18000/sqft,4 BHK,Saket ,1700 sqft
29,4.50Cr,20000/sqft,3 BHK,Panchsheel Enclave ,2250 sqft
