Month,Perrin Freres monthly champagne sales millions ?64-?72
1964-01,2815
1964-02,2672
1964-03,2755
1964-04,2721
1964-05,2946
1964-06,3036
1964-07,2282
1964-08,2212
1964-09,2922
1964-10,4301
1964-11,5764
1964-12,7312
1965-01,2541
1965-02,2475
1965-03,3031
1965-04,3266
1965-05,3776
1965-06,3230
1965-07,3028
1965-08,1759
1965-09,3595
1965-10,4474
1965-11,6838
1965-12,8357
1966-01,3113
1966-02,3006
1966-03,4047
1966-04,3523
1966-05,3937
1966-06,3986
1966-07,3260
1966-08,1573
1966-09,3528
1966-10,5211
1966-11,7614
1966-12,9254
1967-01,5375
1967-02,3088
1967-03,3718
1967-04,4514
1967-05,4520
1967-06,4539
1967-07,3663
1967-08,1643
1967-09,4739
1967-10,5428
1967-11,8314
1967-12,10651
1968-01,3633
1968-02,4292
1968-03,4154
1968-04,4121
1968-05,4647
1968-06,4753
1968-07,3965
1968-08,1723
1968-09,5048
1968-10,6922
1968-11,9858
1968-12,11331
1969-01,4016
1969-02,3957
1969-03,4510
1969-04,4276
1969-05,4968
1969-06,4677
1969-07,3523
1969-08,1821
1969-09,5222
1969-10,6872
1969-11,10803
1969-12,13916
1970-01,2639
1970-02,2899
1970-03,3370
1970-04,3740
1970-05,2927
1970-06,3986
1970-07,4217
1970-08,1738
1970-09,5221
1970-10,6424
1970-11,9842
1970-12,13076
1971-01,3934
1971-02,3162
1971-03,4286
1971-04,4676
1971-05,5010
1971-06,4874
1971-07,4633
1971-08,1659
1971-09,5951
1971-10,6981
1971-11,9851
1971-12,12670
1972-01,4348
1972-02,3564
1972-03,4577
1972-04,4788
1972-05,4618
1972-06,5312
1972-07,4298
1972-08,1413
1972-09,5877
,
Perrin Freres monthly champagne sales millions ?64-?72,
